sample_id,10202,10232,10321,1048,10481,10551,10562,10568,10647,10720,1101,11122,1117,11197,11202,11254,114815,117159,117195,118430,12,1244,124872,125,127254,127707,128822,130497,1308,1360,1381,143425,143662,143941,144568,145741,146894,148545,149563,150572,152110,155465,158046,1602,161835,1620,164656,1672,1825,1828,1830,1908,199974,203328,203413,2066,2099,2173,2196,219970,221476,221662,222171,2264,2348,23532,23581,23650,2525,253190,2532,254295,256394,2568,25803,25818,25928,25984,260436,26154,2674,2813,284340,285386,286133,286887,2893,2920,2925,29968,30010,3158,3169,3294,338324,339479,342667,344905,347853,3483,362,367,374860,3760,3852,3853,3854,3861,3866,3868,3872,3887,388743,3899,3929,4036,4057,4137,419,4250,4588,4604,4886,5104,51442,51473,51702,5174,51806,5241,5268,5284,5288,5304,53335,5409,54102,54490,54898,55503,5596,56165,5649,5650,5653,5655,57016,5764,57758,57863,5803,58503,59272,6273,6278,6279,6280,6288,6289,6422,646424,6523,65266,653145,6557,6590,6663,6664,6833,7021,7031,7033,7138,722,730,768,771,7802,79083,79192,79919,79948,80736,810,81706,8190,84072,84152,84239,8424,84417,85320,8537,8581,8626,866,8788,8842,9,90019,9073,90865,91074,92291,92747,94122,9568,9635,9951
MB-0000,5.5539,5.5106,5.3667,5.4274,5.1682,5.9173,10.564,6.386,10.4391,5.8451,5.3697,5.98,6.9883,5.2463,6.0315,5.6119,5.9627,5.2874,6.0267,12.0317,12.3001,5.6228,5.4664,10.466,5.5169,5.1815,6.0522,8.665,8.9244,7.8734,7.8159,5.4776,6.5259,5.2341,5.3358,5.2397,10.2622,5.1457,7.379,7.0265,5.6155,8.884,5.5996,6.9141,5.7664,6.2088,5.3061,9.7262,6.792,5.5687,7.8691,6.2188,6.5491,7.2087,5.4781,5.791,8.9298,7.15,5.6912,6.5507,9.6097,5.8327,6.0415,5.4903,8.431,5.6062,5.3914,8.0743,5.4074,7.1507,10.7312,6.3743,5.5086,10.7684,8.1172,9.7055,8.9472,9.5573,8.2899,5.716,8.6815,6.3817,5.822,5.6299,9.356,6.8773,5.387,7.7793,6.4403,6.096,5.5414,8.585,7.9538,6.2344,5.4348,5.6359,8.9114,6.5464,5.469,5.0612,5.6196,7.2179,5.3978,5.308,10.0713,5.7623,11.1553,11.2554,11.7855,8.1373,11.6753,6.4504,6.5265,7.1603,5.8764,5.97,10.0458,7.9533,5.2897,12.0198,5.3612,6.2858,5.2826,7.8458,6.9083,5.4516,5.4452,6.508,7.3665,5.6805,8.6727,9.7084,6.1018,12.6076,7.7549,5.2917,8.5253,5.3024,5.4502,5.8287,5.9948,7.6701,6.1681,7.6915,8.7245,6.2577,5.2314,9.0778,7.4814,5.8644,5.8574,10.1802,6.0182,6.1629,5.2186,10.4937,10.5422,12.3303,8.707,11.8063,5.8915,7.4999,6.0977,8.8913,5.3483,10.5428,8.0704,5.3665,5.5712,6.4469,8.0395,10.5453,5.1111,6.5197,7.5422,5.5134,8.8883,7.8385,9.7297,6.1063,5.3109,4.9813,6.1977,6.4221,6.697,6.994,5.556,9.8744,5.5152,8.9974,9.2905,5.772,5.9008,5.2472,7.9103,5.2669,6.1016,10.4758,5.7976,5.7495,10.038,8.9313,8.7742,6.1224,5.4943,5.461,5.2144,5.6566,5.4198
MB-0002,6.1096,5.2724,5.4256,5.6977,5.378,7.3215,5.2557,5.1829,5.4818,5.3829,6.5412,5.8236,6.7236,5.5255,5.5864,5.3668,5.4896,5.4197,5.6801,8.2175,14.3103,5.4986,5.5653,5.6528,6.9087,5.5179,5.8136,5.5695,5.4246,6.2258,5.4546,5.9404,5.1263,6.7691,5.3585,5.1893,6.5423,5.4724,7.0566,5.1527,5.5486,9.8019,7.0887,8.3984,7.8119,5.121,5.2135,5.7081,5.6343,5.4759,5.1772,5.0154,5.3293,9.8046,5.3114,5.7469,10.0471,5.3516,5.2446,5.8564,5.5425,7.156,6.0221,5.7097,5.2925,5.5075,5.2745,5.2869,5.4606,6.0709,6.4987,6.6486,6.7672,6.7124,9.5037,5.5245,5.9622,7.2167,5.3926,5.4961,10.9071,5.4111,5.5449,7.0887,5.473,5.368,5.236,5.6607,9.669,5.8806,5.5282,6.0497,11.844,5.331,5.078,5.7102,5.6515,5.1761,5.3085,6.2623,5.4353,8.0367,5.7685,5.2478,5.3634,5.5988,5.3224,5.1911,6.0252,5.4816,5.8093,5.8632,9.1453,9.8596,5.3966,6.2113,5.6001,10.1946,5.3743,5.7511,5.5837,6.581,6.1069,10.3371,5.3129,6.0469,5.3504,7.8876,6.0546,7.5054,5.6841,5.2261,5.2044,10.6291,6.2013,5.5363,12.2216,5.7075,6.5209,5.3942,5.8694,7.7493,5.6519,5.6407,5.3395,5.5964,5.3529,8.6976,12.1076,5.4965,5.5418,5.3407,5.4315,5.5596,5.5016,6.2455,6.313,5.3616,5.2282,5.9352,5.1874,5.386,5.7615,5.7992,5.4216,5.6006,5.2741,7.0182,9.0316,7.718,7.4865,10.4221,7.0415,5.484,5.6696,5.475,11.8909,9.5959,12.5366,5.9835,5.3018,5.7359,7.4931,5.4376,5.3287,5.058,5.346,5.8279,5.5037,5.3877,5.4469,6.2424,5.7798,5.3572,5.4643,5.1695,5.4925,5.9775,7.9904,5.2552,7.5881,6.117,12.8975,5.6148,5.5426,5.7484,5.2277,5.5497,5.3766
MB-0005,7.9946,5.4722,5.5486,5.5982,5.4757,9.5495,13.1104,6.2841,9.9876,7.7983,5.4666,8.6187,6.8278,5.5054,5.9268,5.0565,5.6905,5.3771,5.3381,10.9462,14.1698,5.3852,5.3489,5.9475,6.0396,5.2979,5.6191,5.9684,6.1921,5.4682,5.4539,6.394,6.0536,5.575,5.4212,6.5794,6.5621,5.2621,6.1251,5.3477,5.9171,11.4731,5.761,9.2023,7.603,5.4909,5.5229,10.038,5.7896,5.519,5.5637,5.3392,11.338,7.2652,5.2584,5.6638,10.0413,6.9246,5.0848,9.1558,5.7573,5.559,5.6341,5.6863,5.7516,5.5822,5.3016,5.4235,5.3912,6.2306,6.6157,5.1549,6.1337,6.1815,8.744,6.7158,5.7922,7.1144,5.3439,6.0177,8.5128,6.8511,6.2448,5.9323,5.4697,5.4633,5.6519,5.4167,5.5683,5.595,9.2805,7.7967,11.6982,5.9365,5.3215,9.4675,5.9162,5.3158,5.3601,5.7882,5.3253,7.4979,5.8771,5.5954,5.5788,5.9301,6.0933,5.8598,6.0453,5.447,6.4503,5.8241,5.8292,8.354,7.8744,5.3481,9.3458,8.1458,5.4659,13.4922,5.3138,5.2032,7.4017,8.7576,5.4196,5.4742,5.3319,6.0838,6.1543,7.3761,7.8064,6.6981,5.571,11.602,5.879,5.2391,10.9202,6.9482,5.5513,5.9769,5.5467,7.2757,5.6053,6.4771,6.4305,6.338,5.5431,9.2992,7.7901,5.2752,5.4826,5.2276,5.2569,5.8515,5.489,8.3281,9.2905,6.885,5.4094,7.1783,7.03,7.3888,5.5362,5.8322,5.4596,7.8928,5.3239,7.0747,5.7145,8.1115,9.356,12.2018,5.7193,5.7131,5.5802,5.975,9.7217,5.9392,10.3061,5.6451,5.3909,5.3816,8.706,5.4498,5.4755,5.6553,5.3073,9.9548,5.7788,5.832,5.781,6.1576,5.4324,5.3416,5.6615,5.3411,5.3532,8.5174,11.349,5.3463,5.931,5.8422,10.7615,7.4144,6.062,5.5531,5.2381,9.5573,5.308
MB-0006,7.6732,5.5389,5.5216,5.519,5.2886,7.8676,5.4253,5.5532,9.665,6.0431,6.1634,6.8447,5.4079,5.3316,5.4858,5.2972,5.9757,5.4903,5.5515,8.9655,9.4467,5.3413,5.178,5.1163,5.6282,5.3928,6.185,5.2948,5.6887,5.653,5.5171,5.4198,5.4134,5.5884,5.1433,5.4403,6.3476,5.3543,10.4557,5.3618,5.532,7.0878,5.6196,6.4664,5.7963,5.5587,5.3644,5.7428,5.5543,5.2493,5.3175,5.4264,5.8469,7.7352,5.1899,5.65,10.4047,5.7154,5.1894,5.3141,5.347,5.8152,6.1168,7.7599,5.5606,5.4371,5.7541,5.7214,5.7044,11.6829,5.8066,5.3784,5.5714,5.7586,10.1068,6.1525,5.617,6.495,7.9711,5.8531,8.548,6.4415,5.5556,5.5508,5.3888,5.48,5.3482,5.3782,5.5834,5.7099,6.6461,6.0917,11.8634,5.3813,5.0071,5.3875,5.4697,5.6116,6.3452,5.6892,5.5532,5.7488,5.4646,5.4499,5.4923,6.0814,6.3521,5.6179,7.7359,5.8641,6.5668,12.691,6.363,8.6248,5.6967,5.5459,5.5046,6.9795,5.4322,13.3271,5.7743,5.6596,5.4708,6.9808,5.5117,6.0253,5.2436,6.2702,11.2471,6.8156,5.6617,5.4862,5.1,8.3386,5.7528,5.8535,8.452,5.8255,5.8846,5.2176,6.4264,7.3699,5.6108,6.0934,5.6944,5.6653,9.9008,8.4682,7.4238,5.5164,5.5454,5.4004,5.559,6.4594,6.2196,7.3433,9.2401,6.2962,5.4399,6.0161,5.3783,5.3748,7.3665,5.9074,5.4613,6.4987,5.3372,6.2884,5.7443,5.3145,13.7317,14.1698,5.5278,5.4527,5.6857,5.6343,10.0988,8.4046,10.4722,5.897,6.2977,5.4577,8.1713,5.5771,5.5005,5.6167,5.553,6.3511,5.3974,5.718,6.895,8.706,8.4792,5.398,5.1718,5.3999,5.1747,9.0994,10.0567,5.4223,5.5941,5.6918,10.5666,7.5409,9.4179,5.5303,6.8954,5.2808,5.5075
MB-0008,5.6469,5.7187,5.5483,6.8771,5.4892,8.6868,5.2477,5.2506,7.039,8.5116,5.2999,5.166,5.6993,5.2795,5.2733,5.1239,5.7564,5.3097,5.3138,6.477,11.3952,5.0575,5.4251,7.0787,5.6971,5.4691,6.6916,7.0584,5.7965,5.4108,7.0673,5.201,5.5048,5.5954,5.5596,5.3859,7.8315,5.5332,10.1392,5.3544,5.6069,11.6338,6.1788,6.5236,6.0565,5.5571,5.6756,5.9273,5.5065,5.5068,5.3882,5.2788,7.1805,8.947,5.4131,5.5414,11.2766,5.3994,5.3787,5.6655,7.3548,6.4968,5.9604,5.3349,6.9472,7.4686,5.3553,5.2934,5.8215,7.4725,7.929,6.0503,7.4828,7.4676,10.5737,5.453,5.5317,6.0792,5.3342,8.0282,10.3991,7.7944,6.9655,5.6918,5.7408,5.3811,5.4018,5.6982,7.9129,6.3711,6.0298,6.651,11.625,5.3325,5.0595,6.0414,5.4526,5.0233,5.536,6.6645,5.3678,6.8804,5.4458,5.2313,5.2571,5.36,6.2162,5.7514,6.9277,5.3431,6.198,5.5911,6.3948,7.9688,5.4679,6.5116,5.486,7.4749,5.5739,8.8767,5.4172,5.045,5.3895,9.4724,5.8134,5.3385,5.7478,6.0353,6.5166,7.3312,5.7753,6.4049,5.0734,8.3842,5.9194,5.2156,11.5062,7.1253,6.5815,6.5442,5.4117,7.5523,5.3572,5.7086,5.3742,5.3907,5.4697,8.572,10.5108,5.3371,5.1458,5.9934,5.4678,6.0764,5.217,7.3337,8.5715,8.7132,6.3156,7.7792,8.3758,5.8122,7.8256,5.6327,5.4086,5.536,5.516,5.3072,5.9926,5.6303,8.6834,13.5688,6.8905,5.1232,5.7667,5.5389,10.8369,9.1033,12.162,5.6553,5.3228,5.1775,8.4595,5.3489,5.1473,5.8666,5.3679,9.3027,5.2952,5.4347,5.9,5.6518,6.2795,5.4862,5.0744,8.3835,5.3818,7.2644,9.0604,5.4508,5.5174,6.5946,4.9237,6.4307,5.7979,5.1216,5.1826,5.3766,5.2123
MB-0010,6.4331,5.8373,5.4187,6.2304,5.4782,9.3549,5.4544,5.3374,13.747,8.1693,6.3036,6.7622,5.6244,5.4259,5.1587,5.2156,6.2565,5.2691,5.3586,12.4412,12.9995,5.5672,5.2453,5.312,5.5406,5.5272,6.4037,5.6191,5.8407,6.4138,5.8596,6.788,5.1931,5.7675,5.5499,5.2554,5.9601,5.7255,10.4006,5.2014,5.4582,11.178,5.7249,8.7941,7.3723,5.4664,5.356,6.3294,5.3186,5.6135,5.1364,5.2113,8.5691,8.9009,5.5232,5.6899,11.2397,5.5524,5.2325,5.1771,7.5346,6.0435,5.7117,7.466,5.3908,5.4515,5.6293,5.4548,5.7548,6.8014,5.8361,6.1185,8.2369,5.7138,10.2415,5.199,5.4357,6.7569,5.2241,6.0305,8.4881,6.9383,5.8733,6.2578,5.3195,5.4438,5.2561,5.2611,6.4642,5.787,7.8223,11.2653,12.1422,5.5369,5.2284,7.4178,5.6894,5.1474,7.1075,5.8261,5.3203,7.9301,6.1953,5.2985,5.3399,5.518,5.2917,5.2568,6.3019,5.7915,5.9796,6.2023,9.3828,6.9805,5.4363,6.7911,9.6228,8.8323,5.4964,14.1378,5.3346,5.1895,5.5356,10.6128,5.6762,5.188,5.2841,5.4251,10.7116,5.9543,5.6649,5.2736,5.2172,10.0364,5.6659,5.4628,6.8602,6.8572,6.4972,6.2438,5.7543,7.2854,5.4934,5.865,5.3544,5.5641,5.7911,7.8154,7.6738,5.466,5.5067,5.3818,5.4169,5.9889,4.8172,7.193,7.5448,5.2878,5.7117,6.8548,6.8454,7.3742,8.1109,5.532,5.0763,7.7965,5.5286,6.2192,6.3709,5.6436,12.1125,12.2699,5.2953,5.3552,5.0806,6.1276,10.2165,8.089,11.4332,5.7688,5.4711,5.3477,8.6408,5.4199,5.3356,5.3531,5.4962,9.6556,5.4583,5.2164,5.7471,8.0265,6.9334,5.0682,5.1071,5.4566,5.2558,5.7855,9.8631,5.4371,6.381,5.7049,10.4765,9.4401,6.9256,5.6005,5.5103,8.6168,5.0668
MB-0014,7.4453,5.2722,7.2391,6.9665,5.1515,9.1385,7.0343,5.5289,13.011,8.0034,6.2789,7.7645,6.1717,5.3681,5.3056,5.3488,6.6314,5.2985,5.6147,5.5592,13.9228,5.4019,5.2246,7.925,6.945,5.2579,6.2608,6.2663,6.6112,12.2404,5.4083,6.5126,5.3412,6.2496,5.358,5.251,7.3318,5.4658,11.6192,5.1413,6.2499,12.8532,5.78,10.6476,8.4648,5.5168,5.7248,6.3072,5.5137,5.3442,5.5647,5.1378,7.217,8.1841,5.5164,5.7117,10.7938,5.7713,5.1416,6.4452,6.3443,5.9205,5.9414,5.7487,5.6003,5.5403,5.3777,5.3215,5.6445,9.8846,8.0591,6.4654,7.3269,5.9569,8.7664,6.0965,6.0651,7.8406,5.5802,5.5878,10.0729,10.7948,5.8754,8.6877,6.2549,5.3907,5.4459,5.4615,7.2415,5.6925,6.1677,8.1328,11.4826,5.574,5.2718,5.4821,5.5027,5.3938,5.411,5.6533,5.2938,6.8454,7.0169,6.4667,5.7528,5.4005,5.8632,5.9933,6.7504,5.9377,6.3991,5.6023,7.676,9.5906,5.8401,7.2961,5.6686,7.8431,5.5083,13.4447,5.5098,5.4441,7.3866,8.402,5.3079,5.2855,5.5491,6.7665,5.7444,7.721,5.8538,5.9581,5.3783,13.4761,6.2769,5.4397,9.8943,7.4612,6.0055,5.5444,5.6007,8.1401,6.0237,5.6005,5.4779,5.5744,5.5071,8.4165,10.9686,5.3179,5.4677,5.5201,5.4562,5.9337,5.3946,7.8184,8.1578,8.5742,5.6024,8.7429,6.9287,5.7373,6.1812,6.3985,5.3299,6.6943,5.4483,5.8008,5.9637,6.1307,13.2309,14.4643,5.7455,5.4175,7.6236,5.4504,9.9164,8.1795,10.7552,5.7751,5.4482,5.2559,9.0231,5.4206,5.4677,5.6652,5.5243,7.6987,5.6459,5.7731,6.2847,6.2592,8.6961,5.4676,5.6227,8.7841,5.384,6.3444,12.2831,5.363,6.8314,7.5283,11.6103,8.0035,5.7873,5.4939,5.4163,5.6053,5.4983
MB-0020,5.1491,5.2812,7.0184,7.2978,5.4536,6.0442,7.4399,6.576,11.6921,5.7297,6.2574,6.8554,6.3347,5.5183,5.4388,6.4866,5.7627,5.5271,5.6462,14.4643,11.5191,5.569,5.4134,5.9417,5.4825,5.4182,5.8272,7.7508,7.4791,6.4953,5.5677,5.4069,7.2617,5.5511,5.6927,5.3496,7.0398,5.3701,9.5799,5.1212,5.5941,6.5897,5.5559,6.982,5.3935,5.9263,5.3522,8.8916,5.8403,5.6229,6.3069,5.7381,10.6388,7.0381,5.2612,5.5495,7.0945,6.1979,5.5982,11.8394,7.3215,5.1795,5.9955,8.0555,6.6645,5.4594,5.1396,7.0658,7.3317,12.4547,9.4097,6.0663,5.9054,8.2628,10.4941,6.1441,6.185,8.0406,6.3606,6.0455,7.2927,6.1842,5.3919,5.5361,5.7989,6.5167,5.2789,6.2627,5.7539,6.0123,5.5683,8.4232,10.6551,6.949,6.2751,7.5856,7.2896,8.0904,5.3074,5.3146,5.6044,6.5635,5.271,5.5009,6.7025,8.8883,10.7997,8.2741,8.4915,5.6338,8.593,12.4318,6.8889,6.4973,5.472,5.4689,8.5415,8.2446,6.2218,13.7194,5.7794,5.9575,5.1894,6.7107,6.8373,5.5339,5.4235,6.3236,10.7239,5.7611,6.9673,7.3083,5.6218,10.5275,8.0907,5.2634,9.0011,5.5534,5.6254,9.1246,5.6015,7.4137,6.0193,5.9443,5.9821,5.641,7.3293,8.0523,7.8775,5.6624,5.7615,8.2462,5.6249,5.8165,6.4177,12.1134,12.6622,8.865,7.0999,9.3702,8.2205,7.0866,6.0275,7.3047,5.1521,12.1987,6.3996,9.8514,5.4529,10.069,8.3739,11.7969,5.282,5.7565,6.6018,5.4715,9.4479,6.445,11.4612,5.9073,5.4508,5.263,9.3943,6.2962,5.3065,6.1508,5.453,7.1792,5.9804,7.0666,7.2526,9.3421,7.8277,5.2312,6.0504,5.2983,5.65,11.333,6.4678,5.445,9.6693,7.2909,7.2844,7.4417,8.7091,5.7208,5.3649,9.2807,5.6299
MB-0022,5.4398,5.3744,5.4867,5.4698,5.4907,9.363,6.7925,5.3835,12.2204,6.8146,6.3078,7.3741,6.8033,5.2608,5.4443,5.293,6.831,5.3535,5.6281,8.917,13.1104,5.3239,5.1208,8.4314,5.4616,5.3051,6.0601,7.0392,6.4492,5.6644,5.6661,6.3002,5.3957,5.8844,5.1502,5.3957,6.7514,5.9075,9.3102,5.4117,5.679,12.6622,6.0647,8.862,9.2285,5.1564,5.5612,6.6151,5.5926,5.5418,5.6447,5.6462,8.9201,8.3179,5.459,5.7233,10.4407,5.796,5.3365,5.5783,6.9211,5.4151,5.7972,5.4484,6.2002,5.5319,5.3604,5.4051,5.3283,5.8025,8.4279,5.8744,6.359,6.2588,8.4325,5.7086,5.7528,6.4898,7.8019,5.684,9.7886,7.4362,5.765,7.6174,5.8884,5.3745,5.1419,5.5483,9.3081,5.9965,7.3449,10.0248,10.6794,5.4667,5.3855,5.4199,5.6127,5.3826,5.5587,5.5004,5.4377,7.1492,5.3507,5.3611,5.6484,5.4296,7.051,6.9783,7.069,5.9052,7.1773,6.019,7.2833,7.7329,5.9894,5.3287,6.9129,7.3501,5.5602,13.383,5.3104,5.4978,5.6924,8.6173,5.3997,5.387,5.3265,6.0428,6.9661,5.5925,6.4103,6.5575,5.4995,10.6279,7.413,5.2441,7.957,6.1696,6.1284,5.6707,5.5379,8.9322,5.5004,5.6832,5.3304,5.396,5.3404,8.1507,9.0578,5.2623,5.3442,5.9837,5.5001,6.025,5.452,8.6006,9.3493,10.7178,6.821,8.6183,6.2401,6.4259,7.8666,6.8788,5.2034,8.2778,5.4431,5.5644,5.6313,7.4188,11.2528,11.7855,6.0491,5.2968,8.8437,5.3964,9.2764,8.3797,9.945,5.6259,5.4739,5.4528,7.7983,5.7182,5.27,5.6865,5.3546,8.7753,5.2907,6.1525,6.4221,6.9111,6.0086,5.3898,5.8597,5.6092,5.1893,8.3333,10.4237,5.3489,6.662,8.0777,12.0509,7.6742,7.0457,5.5926,5.309,5.6102,5.3021
