fold,lgbm_f1,logreg_f1,svm_f1
1,0.8146357808857809,0.8673808307937291,0.8901743485272897
2,0.8019047619047619,0.9259334913847848,0.8586538461538462
3,0.8444676651573204,0.9000768637549148,0.9110345954197614
4,0.7676930596285436,0.9240036355373779,0.8913647755753018
5,0.8489471069626375,0.9039559900487053,0.9082637821777926
