model,metric,observed,ci_lower,ci_upper
LightGBM,accuracy,0.8477157360406091,0.7918781725888325,0.8984771573604061
LightGBM,macro_F1,0.8305586080586081,0.7332035477476083,0.8986514979391743
Linear SVM,accuracy,0.8629441624365483,0.817258883248731,0.9086294416243654
Linear SVM,macro_F1,0.8216879712948166,0.7353863053227098,0.8886259491671494
