hub_id,hugo_symbol,approved_gene_name,hgnc_id,degree,weighted_degree,betweenness,closeness,eigenvector
H1,3169,,,34,24.664133643065902,0.15052260580277926,0.4371189884849853,0.053124556022060225
H2,79083,,,30,21.72135399885127,0.04022283373963178,0.38955681875345843,0.03707383798203149
H3,23650,,,28,20.131509081662692,0.029280059469531983,0.3957077158916709,0.24293665631931746
H4,155465,,,27,19.655895353583258,0.021990974285312093,0.341747572815534,0.028173677875363026
H5,2568,,,27,19.550745751042466,0.03645185951764332,0.40205596801827526,0.238901463132041
H6,2099,,,27,19.204354451200885,0.11752033443569246,0.4200249498291479,0.04082062734731407
H7,2196,,,26,18.703145181496602,0.046482936426983625,0.3283164454996396,0.21635696136460772
H8,3854,,,25,19.150825905409647,0.011045782603650313,0.38754879391452307,0.251043990086644
