node,gene_symbol,degree,weighted_degree,betweenness,closeness,eigenvector,x,y,hgnc_id,hugo_symbol,approved_gene_name,hgnc_status
3169,3169,34,24.664133643065902,0.15052260580277926,0.4371189884849853,0.053124556022060225,0.24551854603765738,0.6043367909110219,,3169,,
79083,79083,30,21.72135399885127,0.04022283373963178,0.38955681875345843,0.03707383798203149,0.25087718723056057,0.6186643713110063,,79083,,
23650,23650,28,20.131509081662692,0.029280059469531983,0.3957077158916709,0.24293665631931746,0.1536220947018894,0.31494196184987916,,23650,,
155465,155465,27,19.655895353583258,0.021990974285312093,0.341747572815534,0.028173677875363026,0.24004936339599559,0.6948377256815589,,155465,,
2568,2568,27,19.550745751042466,0.03645185951764332,0.40205596801827526,0.238901463132041,0.15080812344835814,0.34257304578294356,,2568,,
2099,2099,27,19.204354451200885,0.11752033443569246,0.4200249498291479,0.04082062734731407,0.22072235106051374,0.6547144438874595,,2099,,
2196,2196,26,18.703145181496602,0.046482936426983625,0.3283164454996396,0.21635696136460772,0.11416084683663165,0.2611564161606274,,2196,,
3854,3854,25,19.150825905409647,0.011045782603650313,0.38754879391452307,0.251043990086644,0.14923042775048234,0.3271906770045043,,3854,,
8190,8190,25,17.710837923588205,0.04003818975839693,0.3978014075101453,0.22071215455319662,0.14168826536219487,0.326058593801157,,8190,,
5650,5650,24,17.734504724982113,0.009479217992985588,0.3855613642021409,0.23924287768280433,0.13158942431877996,0.3437982591264554,,5650,,
25818,25818,24,17.516139060426596,0.011339583111387384,0.3855613642021409,0.2315934556186439,0.1260475505437366,0.33234740800526374,,25818,,
3872,3872,23,17.332825891236137,0.02586135466321607,0.38754879391452307,0.23337572677611626,0.1287893516288498,0.3176995653240773,,3872,,
81706,81706,23,15.876034555045202,0.13986583238825875,0.4529184699964908,0.17048021280358477,0.1672239476244176,0.4442888794004829,,81706,,
653145,653145,22,16.323819837439217,0.007902573893274492,0.3797195253505933,0.22140788479503143,0.14022414156016436,0.3472993540229423,,653145,,
5653,5653,22,16.210326942867777,0.015441080556160204,0.38754879391452307,0.21415427619036284,0.1387116814024503,0.37396616136400207,,5653,,
3852,3852,21,15.877312398682268,0.009971824980953645,0.35973428717424627,0.22129675788607236,0.12876419776242645,0.2974167235133611,,3852,,
222171,222171,21,15.027304032216849,0.007908597257129153,0.3563244835043482,0.027185667162662245,0.25757352561533337,0.6344099412463964,,222171,,
6663,6663,21,14.870233488971508,0.04519254322654184,0.37592233009708736,0.16587307884827662,0.12267312328835586,0.2647916471505809,,6663,,
771,771,21,14.56741779860196,0.021307236743423285,0.36497313601658965,0.026339426961291598,0.23288461677624286,0.6751750100383613,,771,,
1825,1825,20,15.129642525574795,0.0063847546909230335,0.37405206974834565,0.21273100022982086,0.11807437512404917,0.31936456208646674,,1825,,
10551,10551,20,14.437641773850828,0.003161639954900949,0.324070974221627,0.023773347641079922,0.2638666425362307,0.649624216558934,,10551,,
6422,6422,20,14.299344293649964,0.01963438399184613,0.37592233009708736,0.16489867767377434,0.14056989842359083,0.2772156251274522,,6422,,
5268,5268,20,14.170657517767719,0.00399266510457279,0.37405206974834565,0.20529143504971775,0.12385884397236482,0.3538158733365218,,5268,,
2066,2066,20,13.889993342309744,0.003209822060954747,0.324070974221627,0.023933652060330244,0.23914120010618686,0.6549166502645939,,2066,,
8424,8424,19,13.20375293548032,0.030188539577538618,0.3722003268287994,0.15745480419384134,0.16990288739098733,0.2963210048840913,,8424,,
3868,3868,18,13.08951268799095,0.05861328247692646,0.41310146164515094,0.15984313979352618,0.1723892057639012,0.3953221003234798,,3868,,
7802,7802,18,12.404416365877262,0.00782932992964327,0.3283164454996396,0.020654303654177836,0.2302628495967335,0.7001275974832696,,7802,,
3861,3861,17,12.791167270211169,0.016454215957597374,0.31457935572978024,0.1803700975803834,0.10307501788043477,0.2827861661053207,,3861,,
1830,1830,17,12.585025026124777,0.0005971943850427944,0.31196873866978203,0.19093258365452143,0.10973234340841678,0.3291221210986171,,1830,,
51442,51442,17,11.679636410124639,0.0764326468518716,0.42718446601941745,0.0793021925504368,0.1980173864800162,0.5011490802885807,,51442,,
11202,11202,16,11.514966273773542,0.008119677455352498,0.37036682768185947,0.16106762412829229,0.13305834628960478,0.38789019409653086,,11202,,
80736,80736,16,11.495678118496798,0.0014452064238151387,0.3185782458449893,0.019494794375076608,0.27284382846807204,0.6585820803537473,,80736,,
149563,149563,15,10.49765248650647,0.001279254268022591,0.31723403383720455,0.01848243806484432,0.2634184004613403,0.6877548684315887,,149563,,
419,419,15,10.214435487348942,0.015188615733043937,0.383594214384783,0.032113403627809255,0.23177754942301565,0.5758758234495619,,419,,
7033,7033,14,10.293804959038141,0.000927133180632434,0.3159011177286449,0.016486422046682256,0.28177738995188434,0.6747930935519112,,7033,,
25803,25803,14,10.074698499600505,0.0009440904465802519,0.3159011177286449,0.017262999622522632,0.28004544885883875,0.6363393669577433,,25803,,
53335,53335,14,9.56165551357866,0.09580734949952943,0.42477099445998573,0.08463519787456583,0.18887403110382567,0.44597919602671315,,53335,,
286887,286887,13,9.442830281435487,0.004358735745070913,0.3480762315713772,0.11850819520479965,0.1717851302247491,0.35133115180656815,,286887,,
6273,6273,13,9.176698766381548,0.0013956860380882317,0.344882871648704,0.1257413380279575,0.15279890555200262,0.37029776757261534,,6273,,
161835,161835,13,8.88147009199334,0.001716911722877275,0.3433080640156049,0.020265827897227147,0.22029741887268453,0.6281716620005019,,161835,,
25928,25928,12,8.206665670057655,0.0004145977927876994,0.30439055068590065,0.12063071696290663,0.1510422259492563,0.2779473460119488,,25928,,
29968,29968,12,8.193335429654613,0.006942830969684989,0.37592233009708736,0.02669984612881055,0.2101272459884367,0.5892369067553541,,29968,,
5241,5241,12,8.174669224606665,0.058317585420570354,0.3068753715078264,0.006720530902680896,0.238469145315841,0.8409366636591006,,5241,,
144568,144568,12,8.07758648299112,0.004755648673677647,0.36855130401675235,0.02661701205865996,0.2053199459405894,0.6043348148169618,,144568,,
7031,7031,11,7.951575199994439,0.00011286067825188327,0.31196873866978203,0.015069916885772775,0.2754574277608488,0.6915043872548581,,7031,,
3899,3899,11,7.535450172065915,0.0002150698467089101,0.31196873866978203,0.014747832512663085,0.2082788703742168,0.6642840900691603,,3899,,
84072,84072,9,6.210305403742841,0.00042523629045616477,0.2995397052566433,0.01166084299085727,0.28864138020778557,0.5978251799882518,,84072,,
388743,388743,9,6.1851997823461415,0.00095500983564947,0.30940109473011307,0.011032909522497965,0.29925620632526995,0.6550333132847123,,388743,,
57758,57758,9,6.113354736457997,0.020819073671347697,0.3159011177286449,0.008230394128316271,0.22424016327918106,0.7802039280462885,,57758,,
6833,6833,9,6.067308418887253,9.994288977727013e-05,0.30940109473011307,0.012749721189899223,0.250530277322814,0.7050529582275139,,6833,,
11254,11254,9,6.041904903334094,0.004550444240703512,0.3496951907879882,0.06637545976236191,0.1888219166572217,0.34896455988746,,11254,,
1308,1308,8,5.779683975229528,0.023702731130848618,0.2869636107611354,0.044647558424848265,0.06736721444902691,0.19585608161375231,,1308,,
8537,8537,8,5.426715782827337,0.0,0.298351055632609,0.010466088057127234,0.29958221979230826,0.6749480296582779,,8537,,
367,367,8,5.40943962254137,0.00022236856527036575,0.3056279106480385,0.01110273431478869,0.2725763189515589,0.6002322339063266,,367,,
342667,342667,7,4.831570231169889,6.345580303318739e-05,0.2971718024482904,0.06972714308619764,0.14999963161462304,0.23561176747698448,,342667,,
1602,1602,7,4.781037012092849,0.0,0.3068753715078264,0.010677891062129666,0.20591264599803807,0.6890661644393997,,1602,,
3853,3853,6,4.451824656345899,0.0005587642166166011,0.308133057456629,0.04726672056614114,0.1977268908497751,0.32677685060566974,,3853,,
57863,57863,6,4.321470831530169,0.0009518370454978108,0.05825242718446602,3.676020797181095e-27,0.4584348105494372,0.5718291168320228,,57863,,
92291,92291,6,4.168545265178784,5.099127029452558e-05,0.29600183472211605,0.008633848362026662,0.3032132603337828,0.6114246392553712,,92291,,
79192,79192,6,4.1425650381971915,0.0077305940040894245,0.2869636107611354,0.03135821714340388,0.1099381644070231,0.1860710637658047,,79192,,
1908,1908,6,4.042168490521688,0.004782301565785361,0.2794961562060129,0.028919680374856756,0.09712979347940436,0.1609295261409641,,1908,,
90019,90019,6,4.00547797654933,0.0,0.2902875135884844,0.06530189262188149,0.0932828093492096,0.3498229996016812,,90019,,
730,730,5,4.053634525581753,0.0,0.049930651872399444,3.90323555961596e-27,0.4496851704006657,0.9412349004495829,,730,,
2532,2532,5,4.029151276893263,0.0,0.049930651872399444,3.883804716412477e-27,0.5125413664326824,0.7346232616884006,,2532,,
146894,146894,5,3.911873511014441,0.0,0.049930651872399444,3.790412029042575e-27,0.5319861353258931,0.8858415953974983,,146894,,
125,125,5,3.8366857177821023,0.0,0.049930651872399444,3.73208489338325e-27,0.3698087989765395,0.8838490130412152,,125,,
90865,90865,5,3.813571232040787,0.0,0.049930651872399444,3.7110285859398824e-27,0.38118197067759063,0.7220985074596189,,90865,,
9,9,5,3.451418142139759,0.0031116240835643446,0.2948410432134018,0.005246006629510102,0.20784517944098777,0.7865281459834439,,9,,
4137,4137,5,3.4477945829445824,0.00018930981238234236,0.298351055632609,0.006187830301704983,0.236578350147874,0.7609026620077398,,4137,,
5655,5655,4,2.998711230672849,0.0,0.2774334539461899,0.04532785728766593,0.08686839433266272,0.3980518653904644,,5655,,
130497,130497,4,2.828066337186352,0.0,0.28158976037235006,0.029807753373561993,0.1377345174842652,0.1870603532096227,,130497,,
256394,256394,4,2.7542912249367686,0.0,0.2948410432134018,0.0047868860973738075,0.24679189475736163,0.788791328219338,,256394,,
2674,2674,4,2.735747546085676,3.172790151659369e-05,0.2914126589899902,0.004874622825241708,0.19521704785267568,0.7598924652458271,,2674,,
143941,143941,4,2.706667326254982,0.0,0.3007378640776699,0.006521383281028907,0.28520577725074636,0.7220826019379756,,143941,,
10568,10568,4,2.666828682127481,0.0,0.28158976037235006,0.033609570076217586,0.20148657986282845,0.2618914551240059,,10568,,
8626,8626,3,2.222166032020056,0.00033292249084905393,0.24175069459619766,0.013713812877689253,0.04547955065521753,0.15090670910501838,,8626,,
810,810,3,2.1384707713878326,6.345580303318739e-05,0.23421952030971172,0.011633426065379343,0.029450529459093704,0.1826280133715562,,810,,
