model,macro_ovr_brier,min_subtype_brier,max_subtype_brier
Logistic Regression,0.019236078254809583,0.0022071910400703835,0.038622784214451734
MLP,0.04062519962332932,0.0011052605311010937,0.08332735086772483
Random Forest,0.042492321704251226,0.007358528222917341,0.08802043295017278
