Model / Metric,Observed,Bootstrap Mean,Bootstrap Median,Bootstrap SD,CI Lower,CI Upper
Logistic Regression,0.9503213389309713,0.9494640840828562,0.9508140192942973,0.017499588166874105,0.9119668570210641,0.9792373026764368
Random Forest,0.8916399598074991,0.8875624190934573,0.8912988495265359,0.03767595944599338,0.8042743026395419,0.9492595970437744
MLP,0.8792212024693198,0.8729451310827382,0.877608575794945,0.04286936012450918,0.772772293686894,0.9443454270412136
Paired Delta (RF - LogReg),-0.058681379123472155,-0.06190166498939906,-0.05876015918400079,0.03863514525765107,-0.14587440617327607,0.003211183058801076
Paired Delta (MLP - LogReg),-0.07110013646165148,-0.07651895300011807,-0.07204568414626822,0.04093273972125969,-0.17052444471689382,-0.009132796657619945
Paired Delta (MLP - RF),-0.01241875733817932,-0.014617288010719025,-0.012843568895730462,0.05485707688523617,-0.12767270202507186,0.09039010529765716
