feature_index,original_gene_id,hugo_symbol
288,1448,CSN3
289,145483,FAM161B
290,145741,C2CD4A
291,145864,HAPLN3
292,1463,NCAN
293,146330,FBXL16
294,146433,IL34
295,146556,C16orf89
296,146562,DNAAF8
297,1466,CSRP2
298,146760,RTN4RL1
299,146894,CD300LG
300,146909,KIF18B
301,146923,RUNDC1
302,146956,EME1
303,1470,CST2
304,1471,CST3
305,1472,CST4
306,1473,CST5
307,1476,CSTB
308,147798,TMC4
309,147841,SPC24
310,1482,NKX2-5
311,148327,CREB3L4
312,148398,SAMD11
313,148545,NBPF4
314,148641,SLC35F3
315,148741,ANKRD35
316,148808,SLC60A1
317,148823,GCSAML
318,149428,BNIPL
319,149461,CLDN19
320,149465,CFAP57
321,149473,CCDC24
322,149563,SRARP
323,150,ADRA2A
324,1501,CTNND2
325,1503,CTPS1
326,150468,CKAP2L
327,150572,SMYD1
328,1511,CTSG
329,151126,ZNF385B
330,151258,SLC38A11
331,1515,CTSV
332,151507,MSL3B
333,151647,TAFA4
334,151648,SGO1
335,152007,GLIPR2
336,152110,NEK10
337,1524,CX3CR1
338,152519,NIPAL1
339,1528,CYB5A
340,153020,RASGEF1B
341,153328,SLC25A48
342,153478,PLEKHG4B
343,153579,BTNL9
344,153643,FAM81B
345,153657,TTC23L
346,153769,SH3RF2
347,154043,CNKSR3
348,154064,RAET1L
349,154091,SLC2A12
350,154664,ABCA13
351,1548,CYP2A6
352,154865,IQUB
353,1549,CYP2A7
354,155185,AMZ1
355,155465,AGR3
356,1555,CYP2B6
357,157310,PEBP4
358,157313,CDCA2
359,157506,RDH10
360,157724,SLC7A13
361,157753,TMEM74
362,1579,CYP4A11
363,1580,CYP4B1
364,158046,NXNL2
365,158067,AK8
366,158158,RASEF
367,158248,TTC16
368,1589,CYP21A2
369,158931,TCEAL6
370,159989,DEUP1
371,1602,DACH1
372,161145,TMEM229B
373,161357,MDGA2
374,161394,SAMD15
375,161835,FSIP1
376,162333,MARCHF10
377,162417,NAGS
378,162514,TRPV3
379,164284,APCDD1L
380,164395,TTLL9
381,1644,DDC
382,164656,TMPRSS6
383,164832,LONRF2
384,165257,C1QL2
385,165530,CLEC4F
386,165545,DQX1
387,165679,SPTSSB
388,165829,GPR156
389,166336,PRICKLE2
390,166348,KBTBD12
391,166979,CDC20B
392,1672,DEFB1
393,1675,CFD
394,168002,DACT2
395,168374,ZNF92
396,168455,CCDC71L
397,168544,ZNF467
398,1690,COCH
399,169026,SLC30A8
400,169044,COL22A1
401,169834,ZNF883
402,170680,PSORS1C2
403,170689,ADAMTS15
404,170961,ANKRD24
405,1717,DHCR7
406,1733,DIO1
407,1749,DLX5
408,1750,DLX6
409,1756,DMD
410,1761,DMRT1
411,1763,DNA2
412,1767,DNAH5
413,1770,DNAH9
414,1789,DNMT3B
415,18,ABAT
416,1811,SLC26A3
417,1824,DSC2
418,1825,DSC3
419,1827,RCAN1
420,1828,DSG1
421,1830,DSG3
422,1831,TSC22D3
423,1846,DUSP4
424,1847,DUSP5
425,185,AGTR1
426,1852,DUSP9
427,1869,E2F1
428,1870,E2F2
429,1893,ECM1
430,1908,EDN3
431,1917,EEF1A2
432,1946,EFNA5
433,1955,MEGF9
434,1956,EGFR
435,1958,EGR1
436,195814,SDR16C5
437,195828,ZNF367
438,1960,EGR3
439,196996,GRAMD2A
