threshold_probability,treat_all,treat_none,net_benefit_logistic_regression,net_benefit_random_forest,net_benefit_mlp
0.01,0.1642311439265754,0.0,0.17197354253191816,0.16633338460749628,0.16987130185099727
0.0198989898989899,0.1557899043207632,0.0,0.1718674061243291,0.16434395976753224,0.16908476158140426
0.029797979797979796,0.14717641245438473,0.0,0.1718093104004101,0.1632345674445152,0.1699384573918512
0.039696969696969696,0.13838534149830287,0.0,0.17174948301518678,0.16398550039805027,0.17111997091109463
0.049595959595959596,0.1294111426957557,0.0,0.17152925727770094,0.16411223081044016,0.17073457587049443
0.059494949494949496,0.12024803368320969,0.0,0.1716255049019581,0.16488221180449736,0.17098328651172376
0.06939393939393938,0.11088998606581629,0.0,0.17145327089673001,0.16577546294383183,0.1718317914269232
0.07929292929292929,0.10133071219137306,0.0,0.17127733334075865,0.16603133675455473,0.17215166610512597
0.08919191919191918,0.09156365106181275,0.0,0.1710975714794784,0.16662378845598472,0.17209174548469922
0.09909090909090908,0.08158195331588355,0.0,0.17091385925102573,0.1675639127784579,0.172030508075215
0.10898989898989898,0.0713784652107885,0.0,0.17072606499142273,0.16762145249827792,0.17196790998868067
0.11888888888888888,0.060945711524058865,0.0,0.17053405111988784,0.16779434262999213,0.1719039053648357
0.12878787878787878,0.05027587728978149,0.0,0.17033767380269255,0.16808651511807546,0.17183844625910394
0.1386868686868687,0.03936078827540346,0.0,0.1709541325583292,0.16850208266485853,0.1717714825228194
0.1485858585858586,0.028191890096614686,0.0,0.17081709086288394,0.16815947842624537,0.17170296167509677
0.15848484848484848,0.01676022585816414,0.0,0.17163282876565844,0.16780881387905364,0.17163282876565844
0.16838383838383839,0.0050564121977851595,0.0,0.1715610262278647,0.1684776074495299,0.1715610262278647
0.1782828282828283,-0.006929386401430204,0.0,0.17148749372112104,0.1681834774225553,0.17148749372112104
0.18818181818181817,-0.01920748517800605,0.0,0.17141216796175554,0.16788217438509329,0.17141216796175554
0.19808080808080808,-0.03178870870079792,0.0,0.17258883248730963,0.1688272826494917,0.17133498254137033
0.207979797979798,-0.044684422698078624,0.0,0.17258883248730963,0.1685899382200939,0.17125586773157106
0.21787878787878787,-0.05790656830371105,0.0,0.17258883248730963,0.1683465858469841,0.1711747502738678
0.22777777777777777,-0.07146769893729688,0.0,0.17258883248730963,0.16959427381952305,0.17109155315341634
0.23767676767676768,-0.08538102005772294,0.0,0.17258883248730963,0.1694235582229534,0.1710061953551315
0.24757575757575756,-0.09966043205472339,0.0,0.17258883248730963,0.16924835071378777,0.1709185916005487
0.25747474747474747,-0.1143205765713011,0.0,0.17258883248730963,0.16906847163996472,0.17082865206363718
0.2673737373737374,-0.12937688658150212,0.0,0.17258883248730963,0.16888373163983955,0.1707362820635746
0.2772727272727273,-0.14484564058359675,0.0,0.17258883248730963,0.16869393097723717,0.1706413817322734
0.2871717171717172,-0.16074402130871965,0.0,0.17258883248730963,0.1684988588211007,0.17054384565420516
0.29707070707070704,-0.17709017939008972,0.0,0.17258883248730963,0.16829829246427405,0.17044356247579184
0.30696969696969695,-0.1939033024887967,0.0,0.17258883248730963,0.16809199647533288,0.17034041448132126
0.31686868686868686,-0.21120369042963696,0.0,0.17258883248730963,0.17023427713199094,0.17023427713199094
0.32676767676767676,-0.22901283696558658,0.0,0.17258883248730963,0.17012501856428572,0.17012501856428572
0.33666666666666667,-0.2473535188633523,0.0,0.17258883248730963,0.17001249904344054,0.17001249904344054
0.3465656565656566,-0.2662498930863556,0.0,0.17258883248730963,0.1698965703672258,0.1698965703672258
0.3564646464646465,-0.2857276029470468,0.0,0.17258883248730963,0.16977707521470622,0.16977707521470622
0.36636363636363634,-0.30581389420941085,0.0,0.17258883248730963,0.16965384643395554,0.16965384643395554
0.37626262626262624,-0.32653774224706633,0.0,0.17258883248730963,0.17258883248730963,0.16952670626194535
0.38616161616161615,-0.34792999150495885,0.0,0.17258883248730963,0.17258883248730963,0.16939546546895215
0.39606060606060606,-0.3700235086763062,0.0,0.17258883248730963,0.17258883248730963,0.1692599224188212
0.40595959595959596,-0.3928533511946327,0.0,0.17258883248730963,0.17258883248730963,0.16911986203527318
0.41585858585858587,-0.4164569528576233,0.0,0.17258883248730963,0.17258883248730963,0.16897505466310758
0.4257575757575757,-0.4408743286500677,0.0,0.17258883248730963,0.17258883248730963,0.1688252548116202
0.43565656565656563,-0.46614830112325656,0.0,0.17258883248730963,0.17258883248730963,0.1686701997657724
0.44555555555555554,-0.49232475102489237,0.0,0.17258883248730963,0.17258883248730963,0.16850960804858447
0.45545454545454545,-0.5194528952653746,0.0,0.17258883248730963,0.17258883248730963,0.16834317771582077
0.46535353535353535,-0.5475855957633923,0.0,0.17258883248730963,0.17258883248730963,0.1681705844612317
0.47525252525252526,-0.5767797032484379,0.0,0.17258883248730963,0.17258883248730963,0.17258883248730963
0.4851515151515151,-0.6070964407250607,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.495050505050505,-0.6386018320415351,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5049494949494949,-0.6713671818762772,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5148484848484849,-0.7054696144858704,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5247474747474747,-0.7409926797822816,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5346464646464646,-0.7780270367648435,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5445454545454546,-0.8166712260757674,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5544444444444444,-0.857032545539704,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5643434343434344,-0.8992280450673859,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5742424242424242,-0.9433856603500913,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.5841414141414141,-0.9896455084711279,0.0,0.17258883248730963,0.16751269035532995,0.17258883248730963
0.594040404040404,-1.0381613730718173,0.0,0.16751269035532995,0.16751269035532995,0.17258883248730963
0.6039393939393939,-1.0891024122355606,0.0,0.16751269035532995,0.16751269035532995,0.17258883248730963
0.6138383838383838,-1.1426551290545734,0.0,0.16751269035532995,0.16751269035532995,0.17258883248730963
0.6237373737373737,-1.1990256532552037,0.0,0.16751269035532995,0.16751269035532995,0.17258883248730963
0.6336363636363637,-1.2584423927145396,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.6435353535353535,-1.3211591267712197,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.6534343434343434,-1.3874586296635478,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.6633333333333333,-1.457656933206011,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.6732323232323232,-1.5321083642583102,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.6831313131313131,-1.611211526418755,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.693030303030303,-1.6954164390837887,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.702929292929293,-1.785233103833946,0.0,0.16243654822335024,0.16751269035532995,0.17258883248730963
0.7128282828282828,-1.881241842552105,0.0,0.16243654822335024,0.16243654822335024,0.17258883248730963
0.7227272727272727,-1.9841058500457678,0.0,0.16243654822335024,0.15228426395939088,0.17258883248730963
0.7326262626262626,-2.0945865350871307,0.0,0.16243654822335024,0.14213197969543148,0.17258883248730963
0.7425252525252525,-2.2135624003042897,0.0,0.16243654822335024,0.13705583756345177,0.17258883248730963
0.7524242424242424,-2.342052451397648,0.0,0.16243654822335024,0.1319796954314721,0.17258883248730963
0.7623232323232323,-2.48124545617324,0.0,0.16243654822335024,0.1319796954314721,0.17258883248730963
0.7722222222222221,-2.632536832982542,0.0,0.16243654822335024,0.1319796954314721,0.17258883248730963
0.7821212121212121,-2.79757559498175,0.0,0.16243654822335024,0.1319796954314721,0.17258883248730963
0.792020202020202,-2.978324700522405,0.0,0.16243654822335024,0.12690355329949238,0.17258883248730963
0.8019191919191919,-3.177139499426637,0.0,0.16243654822335024,0.116751269035533,0.17258883248730963
0.8118181818181818,-3.396870938473233,0.0,0.16243654822335024,0.116751269035533,0.16751269035532995
0.8217171717171717,-3.6410031492213237,0.0,0.16243654822335024,0.1116751269035533,0.16243654822335024
0.8316161616161616,-3.9138395671119577,0.0,0.16243654822335024,0.09644670050761421,0.16243654822335024
0.8415151515151514,-4.220758800749287,0.0,0.16243654822335024,0.08121827411167512,0.16243654822335024
0.8514141414141414,-4.568572779317223,0.0,0.16243654822335024,0.08121827411167512,0.15736040609137056
0.8613131313131313,-4.966038279953119,0.0,0.16243654822335024,0.06091370558375635,0.15736040609137056
0.8712121212121212,-5.424604359510302,0.0,0.15736040609137056,0.06091370558375635,0.15736040609137056
0.8811111111111111,-5.959533184686179,0.0,0.15228426395939088,0.06091370558375635,0.15736040609137056
0.891010101010101,-6.591631657438032,0.0,0.15228426395939088,0.05583756345177665,0.15736040609137056
0.9009090909090909,-7.350020956550084,0.0,0.15228426395939088,0.03553299492385787,0.15736040609137056
0.9108080808080807,-8.276750349236272,0.0,0.15228426395939088,0.03553299492385787,0.15736040609137056
0.9207070707070707,-9.434866953344756,0.0,0.15228426395939088,0.030456852791878174,0.15736040609137056
0.9306060606060605,-10.9233923702702,0.0,0.15228426395939088,0.02030456852791878,0.15736040609137056
0.9405050505050505,-12.907250523557954,0.0,0.15228426395939088,0.02030456852791878,0.14720812182741116
0.9504040404040404,-15.68303576043916,0.0,0.15228426395939088,0.015228426395939087,0.14213197969543148
0.9603030303030302,-19.843182082380704,0.0,0.15228426395939088,0.01015228426395939,0.1319796954314721
0.9702020202020202,-26.767357825002126,0.0,0.15228426395939088,0.0,0.116751269035533
0.98010101010101,-40.580561210028456,0.0,0.13705583756345177,0.0,0.050761421319796954
0.99,-81.74111675126898,0.0,0.12690355329949238,0.0,0.005076142131979695
