original_gene_id,hugo_symbol,mean_abs_shap_basal,mean_abs_shap_her2,mean_abs_shap_luminal_A,mean_abs_shap_luminal_B,mean_abs_shap_normal,mean_abs_shap_overall
10002,NR2E3,0.0014582345769619594,0.00215238701203702,0.0020812005162388326,0.002293017747186329,0.001227188768848696,0.0018424057242545674
1001,CDH3,0.0038617116603571807,0.005023694594867999,0.006472354295343183,0.007382116869418446,0.0029699725761154656,0.005141969999220454
100128927,ZBTB42,0.001220276795578369,0.002231864061407431,0.001481914244558692,0.0011003923704090268,0.0007214844931739462,0.001351186393025493
100129583,FAM47E,0.001737155529802112,0.001811179268480394,0.0015566311918703076,0.0012670615985477841,0.0011943281049724057,0.0015132711387346007
100129842,ZNF737,0.0023919043034930586,0.002700863201177273,0.00310670440235632,0.003030285831793746,0.0018624301674408366,0.002618437581252247
100132994,CXorf49B,0.005218590658333893,0.0044406091701272524,0.005879626596791876,0.003918912941824512,0.0024004004434899848,0.004371627962113504
10017,BCL2L10,0.0029115639571785337,0.0026329010799613847,0.0033944460930594635,0.0022445930427712523,0.001611738980685843,0.0025590486307312957
100170841,EPOP,0.003402200618089884,0.00537874971257695,0.004743633778388709,0.00447760371894578,0.0023890234620928892,0.0040782422580188426
100191040,C2CD4D,0.0031352219952708975,0.0033423379652615737,0.0038835540969052195,0.0025847741444748225,0.001539265885592815,0.002897030817501066
10024,TROAP,0.0027647874323247757,0.0036470192998064254,0.0043683340629849755,0.004421321568250435,0.0017471856967079852,0.00338972961201492
10103,TSPAN1,0.005033435855117107,0.004361198435524856,0.005705631695580936,0.004505557819670853,0.0020536195736441548,0.0043318886759075815
10112,KIF20A,0.0019941230862194313,0.0025596139854558294,0.00323919730290117,0.0027638714410513046,0.0013704731567451432,0.0023854557944745754
10129,FRY,0.0013714227458447587,0.0020808323449966045,0.0022489020787511173,0.0025842424412633068,0.001386399156726602,0.001934359753516478
10140,TOB1,0.0036817256967179696,0.0029260407999785,0.0032963733554738635,0.003285560572382799,0.002152200979379116,0.0030683802807864495
10143,CLEC3A,0.008214594717784091,0.011772638614499674,0.014386987997418164,0.014829722141084812,0.005380158665653486,0.010916820427288046
10158,PDZK1IP1,0.001953892791164633,0.0029330631765962646,0.0033163633995907473,0.003522785656675565,0.0018225842419714497,0.002709737853199732
10164,CHST4,0.0011772278077981895,0.0016629998659035308,0.0017917411602975822,0.0017675218908924629,0.0008474904228475762,0.0014493962295478683
10200,MPHOSPH6,0.0030861934802696913,0.004994495979130761,0.004217199280564695,0.0033729725643922123,0.002310611437676787,0.0035962945484068294
10202,DHRS2,0.0033365297745821814,0.0026174810835131587,0.002705221838122174,0.0017292143751680672,0.0013964321305267931,0.002356975840382475
10205,MPZL2,0.001068043498093287,0.0009663574938200024,0.0012415295782436228,0.001132971759525262,0.001009107115673353,0.0010836018890711054
1021,CDK6,0.0027997744776941083,0.0036072562685908215,0.003948388729824366,0.0038862669745400097,0.0019126245534641882,0.003230862200822699
10218,ANGPTL7,0.002073186333824321,0.0033100040517416687,0.0035474267007471697,0.00296253572327594,0.002487752188174011,0.002876180999552622
10232,MSLN,0.006563963946029375,0.007110031967180109,0.008766128130146173,0.009824749615798314,0.0033177303465753405,0.0071165208011458635
10234,LRRC17,0.0025478092019124068,0.003369019484363017,0.0038402336999232116,0.002600533573647301,0.0024904307348784308,0.0029696053389448736
10253,SPRY2,0.0030546888200291746,0.0038823461564419185,0.004812265291836324,0.0049177715936880645,0.003194773759251796,0.003972369124249455
10279,PRSS16,0.004207570143033972,0.004140088695229941,0.0038404062895986786,0.0031579247939933657,0.002300878166132216,0.003529373617597635
1029,CDKN2A,0.0025682303035382886,0.003746497895682651,0.004001135129936491,0.004004070595592076,0.0018390814692436925,0.0032318030787986396
10290,SPEG,0.002172941963931911,0.002658079176872568,0.0021959689248287435,0.0016630610488733324,0.0019077460532247628,0.0021195594335462636
10309,CCNO,0.003949042817184418,0.0023964084677369235,0.002881628542457911,0.001766156103713944,0.001708035914344063,0.0025402543690874516
1033,CDKN3,0.004349393582895363,0.0052000961845063715,0.006558630748481753,0.005834048662191201,0.0027068553192980383,0.004929804899474545
10331,B3GNT3,0.0027258429254477298,0.002929701278528921,0.002467569122198857,0.0019211569004908698,0.0011635232595513779,0.0022415586972435514
10349,ABCA10,0.0016759346979083266,0.001256558290581394,0.001398728934413756,0.0016462146605871197,0.00093277858358816,0.0013820430334157512
