Entrez_ID,HUGO_Symbol,Mean_Abs_Linear_Weight,NonLinear_Importance,Coef_basal,Coef_her2,Coef_luminal_A,Coef_luminal_B,Coef_normal
1244,ABCC2,0.038088619360177656,0.035838845889141845,0.014528185513180508,0.08069336288726363,-0.03736208886529216,-0.0269476394889635,-0.030911820046188473
1672,DEFB1,0.031672368728536925,0.009574835694485848,0.006398069993758004,0.02392735264936626,-0.02528552779470871,-0.0538953940266336,0.048855499178218034
54898,ELOVL2,0.030691269373110324,0.07436738453796751,-0.0036764578633552616,-0.03643977563277728,0.03952299952376153,0.03720517390901428,-0.03661193993664327
5104,SERPINA5,0.03050854952862775,0.017307089865773055,-0.019427898650434716,-0.05040196739123705,0.021864246705452804,0.05440712711611656,-0.0064415077798976005
51702,PADI3,0.030341978081834232,0.020034897686928604,-0.018817396838035967,0.04783725106611755,-0.05425777022536492,0.028017694138468028,-0.002779778141184691
80736,SLC44A4,0.02953848561578167,0.04556973277041017,-0.04341866536707735,-0.011972068133752702,0.054952446182197245,0.01889376785725693,-0.01845548053862412
84152,PPP1R1B,0.029073395552726904,0.02419327052555255,-0.015599843761318703,0.04504279625241899,0.014897697720073565,-0.05708364512049856,0.012742994909324712
2099,ESR1,0.0277549243750518,0.4000857781379714,-0.009250399397547723,-0.04072269932092724,0.02714028687768215,0.042247024059947354,-0.019414212219154552
8788,DLK1,0.027205407264735554,0.0016335138293909952,0.022084882428429688,0.015467254635956235,-0.05174473332522531,-0.01626878483661357,0.030461381097452965
9568,GABBR2,0.027174027185252213,0.005088185011917563,0.02756131359787975,-0.024420943351903025,-0.040654846466644134,-0.002859278144583385,0.0403737543652508
6664,SOX11,0.026990499421559865,0.015858489469196307,0.045159290448593736,0.02231695810530593,-0.02914976262800949,-0.011252918752667453,-0.027073567173222717
254295,PHYHD1,0.02695540374312346,0.07173672727354113,-0.005459620916782231,-0.0008021349579273931,0.06738850935780866,-0.055788767815764806,-0.005337985667334221
253190,SERHL2,0.026872917099091297,0.01944768691976643,-0.030081130869315374,0.001848301795158814,0.052546260721414384,-0.03710116187841288,0.012787730231155049
84417,ECRG4,0.026611063128896086,0.07193748512356382,-0.003223821191555719,-0.01954961126137371,0.031791200378304456,-0.04375422536931079,0.03473645744393576
130497,OSR1,0.02624143863104771,0.046854038076895595,-0.012695537944856389,-0.03469740242821692,0.01906859710985343,-0.018210656204545955,0.046534999467765834
9,NAT1,0.02617664018833633,0.06621256940534513,-0.0252976499156491,-0.0069771507750083644,0.049848911182471235,0.015592689288369606,-0.03316679978018337
155465,AGR3,0.02606637445141031,0.01594179440262989,-0.028794170322266194,-0.028491249305446702,0.02541541134058453,0.03975052478794124,-0.007880516500812885
221662,RBM24,0.025526567859290118,0.005582653069450159,-0.011268234288581666,-0.03256224462647162,-0.01998594073317201,0.027925111108114395,0.035891308540110904
2674,GFRA1,0.025360890988446644,0.00449595528041967,-0.00579162230607181,-0.026873970421295273,0.010418310470144923,0.052983917000971686,-0.030736634743749516
3483,IGFALS,0.025268532935542858,0.04534317268821193,-0.020603253274750266,0.011298584063358687,0.05187274827549846,-0.0035342593430976194,-0.03903381972100926
8537,BCAS1,0.024904611738614395,0.015479092328357707,-0.03720186345870343,0.038939328807912656,0.023322200538623338,-0.015691017598981036,-0.009368648288851526
5409,PNMT,0.024698268795623358,0.0404511436200963,-0.030746356473577072,0.05227749989086598,-0.02861430045995596,-0.0023850150555253663,0.009468172098192413
1381,CRABP1,0.02450338056599994,0.02131043011560677,0.0213627615689264,-0.019153877740775142,-0.0421045736742247,0.015276809494273999,0.02461888035179945
5764,PTN,0.024258193708383606,0.03135070819035946,0.00167568252336134,-0.006487461626819329,-0.0015816685598932512,-0.052576354084246435,0.05896980174759768
57863,CADM3,0.024151168184491055,0.017074795269178416,0.010020732357811011,-0.039209477571940626,0.0002415303072022569,-0.02116844288928702,0.05011565779621438
26154,ABCA12,0.023843032508280584,0.014032785659992927,-0.020493723625261535,0.03705700536382274,-0.033101976401349015,0.022550575906878714,-0.006011881244090912
149563,SRARP,0.023621861732162165,0.010704244273625494,-0.021608568735180293,0.02313682471185361,0.035917829618551805,-0.02703407214994641,-0.010412013445278716
148545,NBPF4,0.023485559553650625,0.007207426190917884,0.012472390007632865,-0.03146667224691911,0.020426733202302313,0.02581477567419138,-0.027247226637207446
12,SERPINA3,0.023313870683694594,0.01733175973404213,0.0052667976885153464,-0.058284676709236496,0.00964703478886789,0.02767710437682228,0.015693739855030975
1101,CHAD,0.0233089391918714,0.007414595975877194,-0.004441707052917552,-0.036467408683794,0.04308484295314145,0.015187505026537044,-0.017363232242966955
30010,NXPH1,0.023239521676922403,0.007078912875758674,0.019070263795270763,0.03902854039703525,-0.023058169591757723,-0.01757414158554685,-0.017466493015001437
91074,ANKRD30A,0.02315658224785398,0.02938469044034296,0.003343796280339739,0.009188555363023314,0.045359103976271894,-0.039561801316182,-0.01832965430345295
6557,SLC12A1,0.02306994893669893,0.01960619461940944,0.018802834185215934,0.012632943558278154,-0.04616679841741021,0.026239094598253243,-0.01150807392433712
6273,S100A2,0.022800553192725576,0.014172682629359537,0.015139414559877197,-0.01776623541817689,0.041861968421936735,-0.023881475458687323,-0.015353672104949721
5803,PTPRZ1,0.022518078465584485,0.01775180165162153,0.0005573379889938085,-0.030672687541164312,0.011553974614092417,-0.0256225086227969,0.044183883560874986
53335,BCL11A,0.022505794065147355,0.07979545141223918,0.020339182177541507,-0.016090809997545877,-0.04017367516532251,0.0075634467414394755,0.0283618562438874
5174,PDZK1,0.022110398957489848,0.009352411598451441,-0.02189369618035842,-0.030628197677972265,0.01284006804981278,0.04243592934391185,-0.0027541035353939375
4137,MAPT,0.02180387769942977,0.05793141383280113,-0.02093284367198257,-0.016603495518011553,0.04271191443798397,-0.0169733550585803,0.01179777981059045
3760,KCNJ3,0.021466852221454613,0.005172657636735399,-0.0035435309929519997,-0.03588490409238071,-0.01423869546830383,0.02995174473091794,0.023715385822718593
92747,BPIFB1,0.02142632167410503,0.010384287073037995,-0.009482724390231682,-0.006463092141838332,0.04901599905952704,0.004549805125735536,-0.03761998765319256
2264,FGFR4,0.021355371610288727,0.01468936491328647,0.006857041105505953,0.04653138792021587,-0.019687692320834185,-0.02669433647776679,-0.007006400227120843
127254,ERICH3,0.021260944037431378,0.00250254395328601,-0.01810127030757128,-0.022630629748035112,0.03502542877698833,-0.012420460037972056,0.018126931316590118
1117,CHI3L2,0.02124277841505102,0.021929740433987002,0.020657366376302794,-0.027236328504459863,0.028164500127260683,-0.025870617533167686,0.004285079534064075
2066,ERBB4,0.020668147067147216,0.08306203041124709,-0.026142428364577645,0.0066207209482353774,0.04389001352896311,0.0011596331906695585,-0.025527939303290392
128822,CST9,0.02045394106892324,0.0054383990438316146,-0.00818359510586127,-0.037339604155346894,0.03679086120595947,0.014343991466348634,-0.005611653411099941
150572,SMYD1,0.02035260603764564,0.0008938329578223885,-0.016923311209495216,0.027937867225643336,-0.006327389982061874,-0.027630813902557012,0.022943647868470765
57758,SCUBE2,0.02026392872107774,0.03389929379644883,-0.007102187773057022,-0.02617028917432116,0.04200477067293665,0.008655051129757703,-0.017387344855316164
23581,CASP14,0.02010718525745944,0.00429689832475155,-0.001655533621751693,0.01871330246414201,-0.04201062100398613,-0.006601808517910779,0.03155466067950659
203413,CT83,0.019840830936884563,0.02188110991832005,0.04225395622332684,-0.00620990148687141,-0.007386764167117008,0.007348121118884563,-0.03600541168822299
10481,HOXB13,0.019734176455899394,0.0055307411966494,0.02060484302169181,0.026629735783725916,0.0021008623343307595,-0.014345776646886951,-0.03498966449286153
5649,RELN,0.019700710651997903,0.019830296374640396,-0.00951626250930877,0.00012231311518449625,-0.01304780695853864,-0.02668770716214735,0.04912946351481026
7031,TFF1,0.01961123477635187,0.010058908256021138,-0.02370215011643002,-0.008054913273053198,-0.017271023551396453,0.041408046009831834,0.007620040931047836
768,CA9,0.019490690554103247,0.007112626006158392,0.03846155150868556,-0.006610917687447922,-0.009608711317415603,0.010265174876572546,-0.03250709738039458
