source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
FOXA1,DACH1,FOXA1,DACH1,0.6780660853529482,0.6780660853529482,positive
FOXA1,CAPN8,FOXA1,CAPN8,0.668232135339915,0.668232135339915,positive
FOXA1,ANKRD30B,FOXA1,ANKRD30B,0.5983940746467417,0.5983940746467417,positive
ERBB2,PGAP3,ERBB2,PGAP3,0.8599022948626235,0.8599022948626235,positive
NAT1,AGR3,NAT1,AGR3,0.7489770132647788,0.7489770132647788,positive
NAT1,PPP1R14C,NAT1,PPP1R14C,-0.5128971223577677,0.5128971223577677,negative
NAT1,PGR,NAT1,PGR,0.6451152220895006,0.6451152220895006,positive
NAT1,AR,NAT1,AR,0.5754718499933603,0.5754718499933603,positive
NAT1,HORMAD1,NAT1,HORMAD1,-0.535439869986932,0.535439869986932,negative
NAT1,BCL11A,NAT1,BCL11A,-0.5274798083599157,0.5274798083599157,negative
NAT1,SRARP,NAT1,SRARP,0.5684262116866751,0.5684262116866751,positive
NAT1,CA12,NAT1,CA12,0.6570593370525594,0.6570593370525594,positive
NAT1,AFF3,NAT1,AFF3,0.5314092394210047,0.5314092394210047,positive
NAT1,FSIP1,NAT1,FSIP1,0.6347488992286792,0.6347488992286792,positive
NAT1,DACH1,NAT1,DACH1,0.5818695976450484,0.5818695976450484,positive
NAT1,CAPN8,NAT1,CAPN8,0.622154576901223,0.622154576901223,positive
NAT1,ANKRD30B,NAT1,ANKRD30B,0.5091819468291994,0.5091819468291994,positive
AGR3,BPIFB1,AGR3,BPIFB1,0.5481026877715031,0.5481026877715031,positive
AGR3,PPP1R14C,AGR3,PPP1R14C,-0.6405222614787005,0.6405222614787005,negative
AGR3,PGR,AGR3,PGR,0.6845188701392377,0.6845188701392377,positive
AGR3,AR,AGR3,AR,0.6065650266981538,0.6065650266981538,positive
AGR3,HORMAD1,AGR3,HORMAD1,-0.6397012623712927,0.6397012623712927,negative
AGR3,BCL11A,AGR3,BCL11A,-0.6050229390380955,0.6050229390380955,negative
AGR3,SRARP,AGR3,SRARP,0.7285475584313619,0.7285475584313619,positive
AGR3,CA12,AGR3,CA12,0.771377113473299,0.771377113473299,positive
AGR3,AFF3,AGR3,AFF3,0.6850400655074886,0.6850400655074886,positive
AGR3,FSIP1,AGR3,FSIP1,0.7367880240400349,0.7367880240400349,positive
AGR3,DACH1,AGR3,DACH1,0.6712970525478175,0.6712970525478175,positive
AGR3,CAPN8,AGR3,CAPN8,0.7056257421591682,0.7056257421591682,positive
AGR3,ANKRD30B,AGR3,ANKRD30B,0.6034195317387303,0.6034195317387303,positive
BPIFB1,SRARP,BPIFB1,SRARP,0.5348668890737593,0.5348668890737593,positive
BPIFB1,CAPN8,BPIFB1,CAPN8,0.5301690136092932,0.5301690136092932,positive
PPP1R14C,AR,PPP1R14C,AR,-0.5570217317916965,0.5570217317916965,negative
PPP1R14C,HORMAD1,PPP1R14C,HORMAD1,0.5799320982973839,0.5799320982973839,positive
PPP1R14C,KLK5,PPP1R14C,KLK5,0.6540660797391655,0.6540660797391655,positive
PPP1R14C,KLK6,PPP1R14C,KLK6,0.729371731854309,0.729371731854309,positive
PPP1R14C,BCL11A,PPP1R14C,BCL11A,0.7099108414866159,0.7099108414866159,positive
PPP1R14C,KLK7,PPP1R14C,KLK7,0.6723931039271864,0.6723931039271864,positive
PPP1R14C,SRARP,PPP1R14C,SRARP,-0.5832851764293064,0.5832851764293064,negative
PPP1R14C,CA12,PPP1R14C,CA12,-0.6350098968872174,0.6350098968872174,negative
PPP1R14C,AFF3,PPP1R14C,AFF3,-0.5811972142319068,0.5811972142319068,negative
PPP1R14C,FSIP1,PPP1R14C,FSIP1,-0.5896762520306718,0.5896762520306718,negative
PPP1R14C,DACH1,PPP1R14C,DACH1,-0.5653535786891748,0.5653535786891748,negative
PPP1R14C,KRT6A,PPP1R14C,KRT6A,0.6357908139342123,0.6357908139342123,positive
IRX1,KLK5,IRX1,KLK5,0.6194958361218766,0.6194958361218766,positive
IRX1,KLK6,IRX1,KLK6,0.5761423788903622,0.5761423788903622,positive
IRX1,BCL11A,IRX1,BCL11A,0.5431815855514367,0.5431815855514367,positive
IRX1,KLK7,IRX1,KLK7,0.5722156484687573,0.5722156484687573,positive
PGR,AR,PGR,AR,0.5764721684860872,0.5764721684860872,positive
PGR,PHYHD1,PGR,PHYHD1,0.5392260469988244,0.5392260469988244,positive
PGR,SRARP,PGR,SRARP,0.5374543072974493,0.5374543072974493,positive
PGR,CA12,PGR,CA12,0.672091489821744,0.672091489821744,positive
PGR,AFF3,PGR,AFF3,0.5925755908620196,0.5925755908620196,positive
PGR,FSIP1,PGR,FSIP1,0.5888141665758431,0.5888141665758431,positive
PGR,CAPN8,PGR,CAPN8,0.600181087581016,0.600181087581016,positive
PGR,ANKRD30B,PGR,ANKRD30B,0.5113521802668746,0.5113521802668746,positive
AR,HORMAD1,AR,HORMAD1,-0.6340101525092493,0.6340101525092493,negative
AR,BCL11A,AR,BCL11A,-0.5737844294244894,0.5737844294244894,negative
AR,SRARP,AR,SRARP,0.5688800088903339,0.5688800088903339,positive
AR,CA12,AR,CA12,0.6559853157290466,0.6559853157290466,positive
AR,AFF3,AR,AFF3,0.5937716237613974,0.5937716237613974,positive
AR,FSIP1,AR,FSIP1,0.61527993097786,0.61527993097786,positive
AR,DACH1,AR,DACH1,0.6066756189364262,0.6066756189364262,positive
AR,CAPN8,AR,CAPN8,0.5688289790528777,0.5688289790528777,positive
AR,ANKRD30B,AR,ANKRD30B,0.5403566926108838,0.5403566926108838,positive
HORMAD1,BCL11A,HORMAD1,BCL11A,0.5821250667823032,0.5821250667823032,positive
HORMAD1,SRARP,HORMAD1,SRARP,-0.5932401109457277,0.5932401109457277,negative
HORMAD1,CA12,HORMAD1,CA12,-0.638265723509173,0.638265723509173,negative
HORMAD1,AFF3,HORMAD1,AFF3,-0.5591538317875231,0.5591538317875231,negative
HORMAD1,FSIP1,HORMAD1,FSIP1,-0.5801267909533772,0.5801267909533772,negative
