gene_symbol
A1BG
NAT2
ADA
CDH2
AKT3
MED6
NR2E3
NAALAD2
DDTL
NAALADL1
SIGLEC14
ACOT8
ABI1
GNPDA1
KCNE3
ZBTB33
CDH3
TANK
POM121C
ZSCAN30
MCTS2
GAGE8
SRA1
TMEM170B
ZGLP1
HGC6.3
TRAPPC3L
CTAGE4
TEKTIP1
OST4
ZBTB42
KHDC1L
FAM47E
CCDC152
ZNF737
HDAC6
HSFX2
CCDC166
SUPT20HL1
C17orf107
PRR32
LRRC70
LRRC69
EFCAB10
ERLN
SYCE1L
TSTD1
NEMP2
SP9
ZNF717
INSYN2B
NPIPB5
GAGE12D
NBPF10
CXorf49B
CD24
TEN1
UPK3BL1
HDAC5
IL40
KLLN
PDCD6IP
PDCD6
BCL2L10
SRRM5
ERICH4
EPOP
BCL2L11
TOMM6
SH2B3
C2CD4D
CDH4
GNE
HCN4
INSL5
FRAT1
TROAP
MED16
PIGK
ARHGEF33
MEF2B
CMC4
ANKRD66
FRG2C
ZNF605
CDH5
CHAF1A
PARP2
PARP3
CDH6
TOM1L1
HMGXB4
TOM1
SH2D3C
SH2D3A
MAMLD1
RANBP9
DNAJB6
CDH7
SLC17A4
SPATA1
ARL17B
OCLN
SLFN12L
CASP12
MICA
SMC4
GJC1
AP1M2
UBA2
SAE1
FARSB
ABCC5
ABCB6
DNM1L
CDH8
ABCC9
ABCF2
NR1H3
COX17
SCAMP2
SCAMP3
IL18BP
RWDD2B
MUC12
DPP3
SNUPN
HUWE1
PTPRU
TSPAN32
TSSC4
ATP9A
CDH10
PDCD7
GPC6
USH1C
PQBP1
EDIL3
HHLA1
CERT1
KCNK7
CDH11
UST
ARPC5
ARPC4
ARPC3
ARPC1B
ACTR3
ACTR2
TSPAN5
TSPAN3
POTEB
ADAM8
CDH12
TSPAN2
NUBP2
TSFM
TSPAN1
PPIF
CTDSP2
TBC1D3G
TRIM10
ARPC2
SGK2
RAD50
KIF20A
PREB
HIPK3
FEM1B
ENAM
CDH13
ACTR1B
ACTR1A
ARL4C
ARL4A
RASGRP1
DNAL4
ZNF263
LRPPRC
FRY
CDH15
PDIA6
TRAP1
OPTN
BCAP31
NAMPT
RBM12
YAF2
ARFRP1
CDH16
TOB1
AKAP9
CLEC3A
FAM13A
G3BP1
SUGP2
EBI3
ADGRG2
CDH17
MBNL2
ABI2
CEBPZ
PLXNC1
TRIM28
RASA4
AASS
PDZK1IP1
ATP6AP2
CDH18
FARP1
LPAR6
LPCAT3
WASF2
CHST4
SLC25A13
SLC25A15
ZNF197
SERF2
CDK2
DHRS9
RCL1
ZNF256
SORBS3
CNIH1
TENM1
RBM7
CDK3
RBM6
RBM5
LHFPL2
LHFPL6
TNK2
ALYREF
CDK4
TXNDC9
TSHZ1
ALG3
PRMT3
PSME3
MPHOSPH9
MPHOSPH10
ADAM10
CDK5
MPHOSPH6
NME6
DHRS2
CALCRL
NUTF2
MPZL2
TRIM13
PATJ
USPL1
EIF1
CDK6
TOPORS
FLOT1
DDX39A
PSMD14
SSX3
OLIG2
PRG4
CTDSPL
ANGPTL7
KLRG1
CDK7
GDF11
TRIB1
GPA33
ZNF443
CD96
PLIN3
SLC75A1
STX6
COQ7
RCAN2
MSLN
LRRC23
LRRC17
RASGRP2
HNRNPR
SLC35B1
DCAF7
AP3S2
CDK8
MRPS31
CALCOCO2
KCNMB2
GPHN
RABEPK
TIMM17B
POP7
GLYAT
CDK9
SRRM1
SPRY3
SPRY1
SPRY2
STAM2
CNKSR1
ABCC4
CDKN1A
DENND4A
IGSF6
SF3B4
CDK2AP2
IRX5
RAMP2
RAMP1
RAMP3
