Mapped_Symbol,Stability_Score,SHAP_Rank,ANOVA_Rank,MI_Rank,RF_Rank,LASSO_Rank,Best_DGE_Rank
PPP1R1B,0.0,47.0,146.0,138.0,59.0,3.0,35.0
SUSD3,0.0,126.0,39.0,42.0,42.0,96.0,48.0
CA12,0.0,57.0,8.0,12.0,22.0,64.0,47.0
LTF,0.0,117.0,148.0,141.0,69.0,122.0,18.0
CST9,0.0,2.0,74.0,52.0,43.0,33.0,22.0
BRINP3,0.0,53.0,150.0,148.0,151.0,50.0,14.0
TRIM29,0.0,142.0,54.0,37.0,33.0,140.5,11.0
S100A7A,0.0,93.0,135.0,131.0,152.0,79.0,16.0
SOX10,0.0,137.0,62.0,30.0,27.0,140.5,8.0
CA9,0.0,40.0,59.0,112.0,122.0,66.0,42.0
CAPN8,0.0,10.0,29.0,28.0,35.0,76.0,15.0
PGR,0.0,39.0,28.0,15.0,21.0,20.0,4.0
GLYATL2,0.0,35.0,116.0,113.0,106.0,44.0,21.0
NAT1,0.0,74.0,24.0,6.0,23.0,41.0,26.0
CALML5,0.0,49.0,132.0,132.0,123.0,121.0,26.0
ATP13A5,0.0,50.0,81.0,86.0,48.0,112.0,4.0
C2CD4A,0.0,22.0,130.0,139.0,108.0,78.0,19.0
GFRA1,0.0,4.0,31.0,33.0,64.0,72.0,18.0
MAB21L4,0.0,81.0,134.0,126.0,71.0,80.0,6.0
ANXA8,0.0,94.0,68.0,68.0,77.0,49.0,22.0
TFF3,0.0,54.0,12.0,18.0,12.0,21.0,3.0
SFRP1,0.0,3.0,44.0,35.0,24.0,5.0,10.0
NBPF4,0.0,73.0,129.0,142.0,129.0,110.0,45.0
LBP,0.0,66.0,147.0,118.0,104.0,88.0,23.0
DSC3,0.0,38.0,77.0,61.0,63.0,119.0,20.0
KLK10,0.0,6.0,90.0,95.0,124.0,74.0,27.0
ANKRD30B,0.0,96.0,53.0,59.0,119.0,60.0,44.0
BPIFB1,0.0,42.0,80.0,92.0,143.0,94.0,32.0
FSIP1,0.0,79.0,15.0,5.0,9.0,23.0,30.0
NEK10,0.0,8.0,38.0,38.0,70.0,126.0,17.0
FDCSP,0.0,92.0,85.0,90.0,141.0,8.0,21.0
ZP2,0.0,58.0,65.0,114.0,51.0,17.0,34.0
S100A8,0.0,51.0,71.0,111.0,97.0,127.0,11.0
WNK4,0.0,28.0,51.0,66.0,109.0,124.0,36.0
MAPT,0.0,65.0,25.0,26.0,17.0,18.0,29.0
AR,0.0,26.0,16.0,40.0,46.0,58.0,25.0
FAT2,0.0,118.0,95.0,87.0,93.0,140.5,32.0
